city,cloudiness,country,date,humidity,lat,lon,temp_k,wind_speed
Nouadhibou,0,MR,1584998905,82,20.93,-17.03,291.15,4.1
Tocuila,0,MX,1584998906,35,18.95,-97.02,299.32,2.55
Havøysund,75,NO,1584998908,64,71.0,24.66,277.15,11.3
São João da Barra,20,BR,1584998909,65,-21.64,-41.05,298.15,6.2
Ribeira Grande,65,PT,1584998910,81,38.52,-28.7,286.02,5.64
Nizhniy Tsasuchey,95,RU,1584998911,83,50.52,115.13,274.92,3.8
Businga,0,CD,1584998912,73,3.33,20.88,297.22,0.8
Vaini,20,TO,1584998913,78,-21.2,-175.2,301.15,3.1
Mergen,0,CN,1584998914,61,49.18,125.22,271.42,5.01
Staryy Nadym,100,RU,1584998915,87,65.61,72.68,268.92,9.28
Mahébourg,40,MU,1584998916,94,-20.41,57.7,298.98,4.6
Russell,75,US,1584998917,83,32.35,-85.2,296.44,4.2
Caravelas,97,BR,1584998918,72,-17.71,-39.25,299.72,10.73
Mahon,40,ES,1584998919,87,39.89,4.27,287.15,5.7
Bredasdorp,100,ZA,1584998921,82,-34.53,20.04,288.16,1.5
Paita,25,PE,1584998922,100,-5.09,-81.11,290.15,7.2
San Policarpo,100,PH,1584998923,79,12.18,125.51,299.22,5.16
Bengkulu,100,ID,1584998925,90,-3.8,102.27,296.22,1.08
Bétérou,100,BJ,1584998926,72,9.2,2.26,298.82,3.77
Ambilobe,9,MG,1584998927,89,-13.2,49.05,296.82,2.53
Norman Wells,20,CA,1584998928,55,65.28,-126.83,260.15,5.1
Jinchang,100,CN,1584998929,36,38.5,102.17,278.52,2.48
Kaitangata,100,NZ,1584998931,87,-46.28,169.85,279.82,1.34
Esperance,69,AU,1584998932,93,-33.87,121.9,288.15,3.6
Olinda,40,BR,1584998934,74,-8.01,-34.86,303.15,2.6
Ferme-Neuve,100,CA,1584998935,93,46.7,-75.45,272.72,3.25
Bubaque,35,GW,1584998936,76,11.28,-15.83,298.52,10.23
Lüderitz,0,NA,1584998937,60,-26.65,15.16,294.15,8.2
Nikolskoye,0,RU,1584998938,67,59.7,30.79,268.58,2.0
La Providencia,91,MX,1584998939,33,28.72,-111.58,300.5,2.68
General Cepeda,5,MX,1584998940,27,25.38,-101.45,306.15,2.6
Corpus Christi,20,US,1584998644,74,27.8,-97.4,300.4,10.3
Belaya Gora,60,RU,1584998942,97,68.53,146.42,249.82,2.77
Tasiilaq,76,GL,1584998945,86,65.61,-37.64,270.15,3.1
Erzin,75,TR,1584998946,82,36.96,36.2,286.86,1.5
Grindavik,75,IS,1584998947,74,63.84,-22.43,275.68,18.0
Cidreira,0,BR,1584998948,74,-30.18,-50.21,296.82,9.84
Verkhoyansk,100,RU,1584998949,85,67.54,133.38,255.22,1.73
Mandalgovi,100,MN,1584998950,42,45.76,106.27,278.22,4.92
Ligayan,99,PH,1584998951,77,4.65,119.47,300.82,2.09
